Bath,Bed,Price,Property,Sqft
2.5,2,"$2,350,000",Co-op,
1,1,"$710,000",Co-op,
3,3,"$2,299,000",Co-op,
1,1,"$810,000",Co-op,
1,1,"$799,000",Co-op,
1.5,2,"$1,500,000",Co-op,
1,2,"$1,250,000",Co-op,
2,2,"$1,350,000",Condos,"1,150"
1,0,"$850,000",Condos,
2.5,3,"$6,600,000",Co-op,
1,1,"$795,000",Condos,587
1,1,"$780,000",Condos,609
4.5,4,"$6,795,000",Condos,
2,3,"$2,625,000",Condos,"1,660"
1,0,"$725,000",Condos,460
2,1,"$990,000",Condos,800
2,2,"$1,792,000",Co-op,"1,400"
2,2,"$2,499,995",Co-op,"1,300"
,,"$2,650,000",Condos,
5.5,4,"$11,995,000",Condos,"3,006"
4.5,4,"$14,250,000",Condos,"3,711"
4,4,"$9,975,000",Condos,"3,164"
3.5,3,"$2,699,000",Co-op,"2,000"
3.5,3,"$9,550,000",Co-op,
2,2,"$1,850,000",Co-op,"1,600"
1.5,1,"$848,000",Condos,861
2,2,"$2,195,000",Condos,"1,325"
2,2,"$1,850,000",Condos,"1,052"
3,2,"$2,345,000",Co-op,
1,0,"$795,000",Condos,669
2.5,3,"$2,650,000",Condos,"1,679"
3.5,,"$5,350,000",Condo,"4,600"
1.5,2,"$6,995,000",Condos,"3,040"
2.5,3,"$9,750,000",Condos,"2,844"
1,1,"$525,000",Co-op,
2,2,"$599,000",Condop,938
4.5,4,"$16,900,000",Condos,"2,836"
1,1,"$759,000",Co-op,
1,1,"$875,000",Condos,
2,2,"$1,925,000",Condos,"1,040"
1,1,"$595,000",Condos,547
2,2,"$1,650,000",Co-op,
2.5,3,"$4,500,000",Co-op,
2.5,2,"$4,300,000",Co-op,
3,2,"$3,500,000",Co-op,
2,3,"$3,195,000",Condos,"2,200"
,,"$3,250,000",Townhomes,"3,333"
4,4,"$5,495,000",Co-op,
3.5,4,"$10,995,000",Condos,"4,050"
1,2,"$1,195,000",Co-op,
1,2,"$1,250,000",Co-op,
4,4,"$5,675,000",Condos,"2,992"
2,2,"$2,100,000",Condop,
2.5,3,"$6,950,000",Co-op,
3,3,"$2,350,000",Condos,"1,500"
1.5,2,"$2,550,000",Co-op,"1,300"
,,"$3,500,000",Townhomes,"4,320"
3,3,"$3,375,000",Condos,"1,881"
3,3,"$3,500,000",Co-op,"2,700"
3,3,"$5,329,990",Condos,"2,899"
2,2,"$2,250,000",Condos,"1,200"
2,2,"$2,150,000",Co-op,
3,4,"$5,350,000",Condos,"3,300"
1,1,"$1,200,000",Co-op,
2.5,2,"$4,500,000",Condos,"1,860"
,,"$11,975,000",Townhomes,"9,407"
1,2,"$999,000",Co-op,"1,200"
,,"$3,295,000",Townhomes,
2,2,"$1,699,000",Condop,"1,300"
1,0,"$925,000",Condos,506
1,0,"$750,000",Condos,428
1,2,"$1,029,000",Condos,715
1,1,"$325,000",Co-op,413
1,1,"$1,625,000",Condos,818
1,1,"$1,260,000",Condos,647
,,"$5,750,000",Townhomes,"3,300"
3,5,"$2,495,000",Townhomes,"3,728"
1,0,"$828,750",Condos,684
1,1,"$599,999",Co-op,
1,1,"$450,000",Co-op,
1,0,"$565,000",Co-op,
1,0,"$450,000",Co-op,
1,0,"$689,995",Condos,
1,0,"$300,000",Co-op,
1,1,"$539,000",Co-op,
3,3,"$1,895,000",Co-op,
1,1,"$949,000",Co-op,600
2.5,2,"$2,350,000",Co-op,
1,1,"$710,000",Co-op,
3,3,"$2,299,000",Co-op,
1,1,"$810,000",Co-op,
1,1,"$495,000",Condos,632
1.5,2,"$1,500,000",Co-op,
1,1,"$799,000",Co-op,
2,3,"$2,625,000",Condos,"1,660"
2,2,"$1,350,000",Condos,"1,150"
